# eps[MeV/(fm^3)]	p[MeV/(fm^3)]	n[fm^{-3}]	mu[MeV]
4066.9987895939025	5610.772601549447	1.5616	6197.343360107165
4030.3356422553416	5548.596578905758	1.5536	6165.636084681449
3993.67249491678	5486.420556262068	1.5456	6133.60057659087
3957.00934757822	5424.244533618378	1.5376	6101.23171253681
3920.3462002396595	5362.068510974689	1.5296	6068.524262038669
3883.6830529010977	5299.892488330999	1.5216	6035.472884616258
3847.0199055625376	5237.716465687311	1.5136	6002.072126882827
3810.356758223977	5175.54044304362	1.5056	5968.316419545427
3773.6936108854165	5113.36442039993	1.4976	5934.200074309126
3737.0304635468556	5051.188397756242	1.4896	5899.717280681456
3700.367316208294	4989.012375112552	1.4816	5864.862102673357
3663.704168869734	4926.836352468863	1.4736	5829.628475392641
3627.041021531173	4864.660329825173	1.4656	5794.010201525892
3590.3778741926117	4802.484307181483	1.4576	5758.00094770451
3553.714726854052	4740.308284537794	1.4496	5721.594240750445
3517.051579515491	4678.132261894104	1.4416	5684.783463796889
3480.3884321769306	4615.956239250414	1.4336	5647.561852279119
3443.7252848383696	4553.780216606725	1.4256	5609.9224897903305
3407.062137499808	4491.604193963035	1.4176	5571.858303797153
3370.398990161248	4429.428171319345	1.4096	5533.362061209274
3333.7358428226876	4367.252148675658	1.4016000000000002	5494.4263637973345
3297.072695484127	4305.076126031969	1.3936000000000002	5455.043643452996
3260.4095481455665	4242.900103388279	1.3856000000000002	5415.206157284819
3223.746400807006	4180.724080744589	1.3776000000000002	5374.905982543259
3187.083253468445	4118.5480581009		1.3696000000000002	5334.135011367804
3150.420106129884	4056.3720354572106	1.3616000000000001	5292.884945348924
3113.7569587913235	3994.196012813521	1.3536000000000001	5251.147289897195
3077.093811452763	3932.019990169831	1.3456000000000001	5208.913348411558
3040.430664114202	3869.843967526142	1.3376000000000001	5166.174216238295
3003.767516775641	3807.667944882452	1.3296000000000001	5122.920774411922
2967.1043694370805	3745.4919222387625	1.3216	5079.143683168767
2930.44122209852	3683.315899595073	1.3136	5034.833375223502
2893.7780747599586	3621.1398769513835	1.3056	4989.980048798516
2857.114927421398	3558.9638543076935	1.2976	4944.573660395415
2820.4517800828376	3496.787831664004	1.2896	4898.603917297489
2783.788632744277	3434.6118090203145	1.2816	4852.060269791347
2747.1254854057156	3372.435786376625	1.2736	4804.93190309543
2710.462338067155	3310.259763732936	1.2656	4757.207728982373
2673.799190728594	3248.0837410892464	1.2576	4708.876377081616
2637.136043390034	3185.9077184455564	1.2496	4659.926185847943
2600.4728960514726	3123.731695801867	1.2416	4610.345193180847
2563.809748712912	3061.5556731581773	1.2336	4560.121126678899
2527.146601374351	2999.3796505144883	1.2256	4509.241393512434
2490.4834540357906	2937.2036278707988	1.2176	4457.693069897002
2453.8203066972296	2875.0276052271083	1.2096	4405.46289014909
2417.157159358669	2812.8515825834193	1.2016	4352.537235304668
2380.494012020108	2750.6755599397297	1.1936	4298.902121280024
2343.8308646815467	2688.4995372960398	1.1856	4244.543186553295
2307.1677173429866	2626.3235146523502	1.1776	4189.445679343866
2270.5045700044257	2564.1474920086607	1.1696	4133.5944442656355
2233.8414226658647	2501.971469364971	1.1616	4076.9739084287494
2197.178275327305	2439.795446721284	1.1536000000000002	4019.5680669630624
2160.5151279887446	2377.619424077594	1.1456000000000002	3961.360467935001
2123.851980650184	2315.4434014339045	1.1376000000000002	3902.334196628066
2087.188833311623	2253.267378790215	1.1296000000000002	3842.4718591553096
2050.525685973062	2191.091356146526	1.1216000000000002	3781.755565370531
2013.9639288915544	2129.1181588391228	1.1136000000000001	3720.440093148955
1978.0391774015036	2068.4124235058116	1.1056000000000001	3659.959841631073
1942.7979461873535	2009.0806358668726	1.0976000000000001	3600.4724690727276
1908.212005361063	1951.0624887086558	1.0896000000000001	3541.9185885368192
1874.298157245372	1894.3985883550397	1.0816000000000001	3484.3719911246408
1841.023686532818	1839.0261467171974	1.0736	3427.7662381240825
1808.3700373293907	1784.9064605021322	1.0656	3372.0687855025544
1776.3425198523908	1732.0595168447935	1.0576	3317.324164804448
1744.9277481277404	1680.4530424625577	1.0496	3263.510661766671
1714.097021517967	1630.037938082455	1.0416	3210.575038018838
1683.8421804271736	1580.795986077446	1.0336	3158.5121579959555
1654.1754480920663	1532.7550866421482	1.0256	3107.3815666285236
1625.0644370568223	1485.8539805246953	1.0176	3057.1132248246045
1596.4982364728555	1440.066876103092	1.0096	3007.6912763232444
1568.463460503828	1395.3743186824734	1.0016	2959.103214043831
1540.9555086604703	1351.7645074661564	0.9936	2911.3526732353325
1513.9767530738332	1309.2459660175516	0.9856	2864.471102974213
1487.4989181092824	1267.764142767064	0.9776	2818.395111371058
1461.515306663197	1227.3020509540613	0.9696	2773.1202120640037
1436.0133461203438	1187.840861980465	0.9616	2728.633743865234
1410.9855820700564	1149.3635512567012	0.9536000000000001	2684.9298797470187
1386.4225631587817	1111.8525331664307	0.9456000000000001	2641.9998903608416
1362.3133331869722	1075.2897900533585	0.9376000000000001	2599.8326826368716
1338.6589581346873	1039.6733491838306	0.9296000000000001	2558.4469743099376
1315.441405348322	1004.9726156693989	0.9216000000000001	2517.810352666798
1292.6505632163853	971.166592458966	0.9136000000000001	2477.908445353931
1270.2790914609063	938.2390876581429	0.9056000000000001	2438.7347384265117
1248.3159938567032	906.1726657932055	0.8976000000000001	2400.277027239203
1226.754773364814	874.9517032499747	0.8896000000000001	2362.529762381732
1205.5862071581973	844.559673721631	0.8816	2325.4830772230357
1184.8010652143187	814.9801633102954	0.8736	2289.126864153633
1164.3931047945625	786.1980533918671	0.8656	2253.4555894020677
1144.3525055727466	758.1969534576846	0.8576	2218.45785801123
1124.6712123517636	730.9612906442793	0.8496	2184.124885823968
1105.3432032170012	704.4764470667548	0.8416	2150.4511053751853
1086.3583544889539	678.726282345511	0.8336000000000001	2117.4239885250295
1067.709899012558	653.6961438837878	0.8256000000000001	2085.0363891670854
1049.3909622047324	629.3714785789938	0.8176000000000001	2053.280871800056
1031.3924118313853	605.7369308345201	0.8096000000000001	2022.1459272059103
1013.7154026760898	582.7943274370863	0.8016000000000001	1991.6538549316065
996.3463620884929	560.5159653062436	0.7936000000000001	1961.7720859308674
979.2765021975092	538.8862156371853	0.7856000000000001	1932.4881846164642
962.5000855912433	517.8916261192819	0.7776000000000001	1903.7959255536587
946.009540123202	497.5181004171388	0.7696000000000001	1875.6856036127087
929.7971947481874	477.7516313965593	0.7616	1848.147093152241
913.8575432996896	458.5792882266578	0.7536	1821.1741394988685
898.1841718183009	439.9895545780209	0.7456	1794.7608991366976
882.7810989074484	421.99382520831034	0.7376	1768.946480634163
867.6313293346102	404.5537707523401	0.7296	1743.674753408649
852.7276549303806	387.65620786570906	0.7216	1718.935508309437
838.0632893895433	371.2882764907541	0.7136	1694.7191225901026
823.6331085395846	355.43800131074727	0.7056	1671.019146613282
809.4440536934142	340.12308550298286	0.6976000000000001	1647.8886743067615
795.478342416875	325.306330245191	0.6896000000000001	1625.267796783738
781.7288769922066	310.97137587680396	0.6816000000000001	1603.1400423547686
768.1895323294323	297.1063026410438	0.6736000000000001	1581.4961920583075
754.8649710525611	283.72398322675144	0.6656000000000001	1560.38003948214
741.7457171256066	270.80312734307216	0.6576000000000001	1539.7640578903263
728.8199746823149	258.3181693648358	0.6496000000000001	1519.6092118952442
716.0815773938822	246.2576805019265	0.6416000000000001	1499.9053271443402
703.5434522635122	234.65140657306338	0.6336	1480.7368352849992
691.1836204598086	223.44983100001326	0.6256	1462.0099927426818
678.9954975696303	212.64048837954007	0.6176	1443.7111171456775
666.9870392746101	202.24245731885836	0.6096	1425.9014051730123
655.1475076181493	192.23082483562035	0.6016	1408.5411111266117
643.4648505180702	182.58051600025533	0.5936	1391.5858600376102
631.9469064856531	173.31088922395872	0.5856	1375.09869485931
620.5840446553425	164.39906681854205	0.5776000000000001	1359.0427830226529
609.3641363440478	155.81906729882215	0.5696000000000001	1343.3693884179595
598.2989304219548	147.59982091807092	0.5616000000000001	1328.1672922721252
587.3711209027492	139.70107039656048	0.5536000000000001	1313.3529467111805
576.5770811761862	132.1148667865855	0.5456000000000001	1298.9221920138775
565.9242523136747	124.86098667905887	0.5376000000000001	1284.9427808644598
555.3922810113941	117.89224234401877	0.5296000000000001	1271.3076347345407
544.9915852539706	111.23249650236615	0.5216000000000001	1258.0983162506454
534.7098703711265	104.85526669702574	0.5136000000000001	1245.2592232635361
524.5426689223233	98.75084467990669	0.5056	1232.7798924094736
514.4948484602025	92.93064412107657	0.4976	1220.7103950588407
504.5485634867107	87.35297508579883	0.4896	1208.9492209405832
494.7190751346974	82.0562423041487	0.4816	1197.6231674394644
484.98331224411214	76.98557939520046	0.4736	1186.589720522197
475.3539433595247	72.17067885547006	0.4656	1175.9549446198341
465.815075710685	67.57557638743724	0.4576	1165.626425039603
456.3721342294375	63.2142433561738	0.4496	1155.6636512135483
447.0156755436012	59.06355004723861	0.4416	1146.0127391096917
437.747749829057	55.12905364768798	0.4336	1136.708495103194
428.5603732253392	51.39294639462117	0.4256	1127.7098675281024
419.4544907948239	47.858239874200954	0.4176	1119.043895280232
410.423545328124	44.50802485161753	0.4096	1110.6727787591346
401.4689705809929	41.34764974310063	0.4016	1102.6310267034203
392.5816042551686	38.355340757271996	0.3936	1094.8601245234772
383.7663553998215	35.54369362642892	0.3856	1087.4223263128902
375.0113950922644	32.88292645076387	0.3776	1080.228605781325
366.3250329602853	30.395598489456894	0.3696	1073.3783318445408
357.6926354770256	28.045399026300228	0.3616	1066.7534140025602
349.12232576124734	25.8530836895867	0.35359999999999997	1060.4508185826755
340.6038796490884	23.792592883807526	0.3456	1054.387941356759
332.1383716777007	21.86804075738081	0.3376	1048.5971932318766
323.7232958850683	20.07321018926572	0.3296	1043.0719237692172
315.35270479012604	18.392507517276385	0.3216	1037.7649636424205
307.03200965275505	16.84000409279538	0.3136	1032.755145872291
298.7506366233006	15.38877921076525	0.3056	1027.9431146402678
290.5115516352396	14.046083478088553	0.2976	1023.3791502463985
282.31154195761775	12.803103802295997	0.2896	1019.042285082575
274.1455593742176	11.64656591193479	0.2816	1014.8868085445752
266.0183783453052	10.587833881276255	0.2736	1010.987617787213
257.9221263887072	9.606149892993086	0.2656	1007.2600763618234
249.85618589086903	8.699251668794778	0.2576	1003.7089967378254
241.8223572622456	7.870475491426724	0.2496	1000.3719260964435
233.81470277356618	7.104200303562344	0.24159999999999998	997.180890219903
225.8335178773867	6.400081921092084	0.2336	994.1506840688304
217.87908884842227	5.757789488112893	0.2256	991.2982195768403
209.9420673298654	5.48208116604992	0.2176	990.0006824260814
202.00891946043868	5.455556780801966	0.2096	989.8114324486671
194.07577159101186	5.429032395554011	0.2016	989.6071626317752
186.1426237215851	5.402508010306056	0.1936	989.3860110118346
178.2248365545725	4.871355540349403	0.1856	986.5096556838466
170.3374722225599	4.257433898277504	0.17759999999999998	983.0794263560666
162.47603325108102	3.694135272198755	0.1696	979.7769370476402
154.64392063670675	3.1885084812524234	0.1616	976.6858237497474
146.83562871194775	2.7312399410979618	0.1536	973.742634459933
139.05069106484157	2.321383520672269	0.1456	970.962050724683
131.28972553755762	1.9609227522186217	0.1376	968.3913393152342
123.54768025296946	1.64034237823777	0.1296	965.9569647469694
115.82558942653051	1.361038100271585	0.1216	963.7058184769909
108.12202047708202	1.11600969038276	0.1136	961.602378234725
