  # e[MeV/fm3],   pr[MeV/fm3],  n_b[1/fm3],  mu_b[MeV]
 1436.08  832.703  1.09148  2078.63 
 1437.75  834.548  1.09228  2080.32 
 1439.42  836.395  1.09308  2082.02 
 1441.09  838.244  1.09388  2083.71 
 1442.77  840.094  1.09469  2085.4 
 1444.44  841.945  1.09549  2087.1 
 1446.11  843.797  1.09629  2088.79 
 1447.78  845.651  1.09708  2090.48 
 1449.46  847.507  1.09788  2092.18 
 1451.13  849.364  1.09868  2093.87 
 1452.8  851.222  1.09948  2095.56 
 1454.48  853.081  1.10028  2097.26 
 1456.15  854.942  1.10107  2098.95 
 1457.83  856.804  1.10187  2100.64 
 1459.5  858.668  1.10266  2102.34 
 1461.18  860.533  1.10346  2104.03 
 1462.85  862.4  1.10425  2105.72 
 1464.53  864.267  1.10505  2107.42 
 1466.2  866.137  1.10584  2109.11 
 1467.88  868.007  1.10663  2110.8 
 1469.56  869.879  1.10743  2112.5 
 1471.23  871.752  1.10822  2114.19 
 1472.91  873.627  1.10901  2115.88 
 1474.59  875.503  1.1098  2117.58 
 1476.26  877.381  1.11059  2119.27 
 1477.94  879.259  1.11138  2120.96 
 1479.62  881.14  1.11217  2122.66 
 1481.3  883.021  1.11296  2124.35 
 1482.98  884.904  1.11375  2126.04 
 1484.66  886.788  1.11454  2127.74 
 1486.34  888.674  1.11533  2129.43 
 1488.01  890.561  1.11611  2131.12 
 1489.69  892.45  1.1169  2132.82 
 1491.37  894.339  1.11769  2134.51 
 1493.05  896.231  1.11847  2136.2 
 1494.73  898.123  1.11926  2137.9 
 1496.42  900.017  1.12004  2139.59 
 1498.1  901.912  1.12083  2141.28 
 1499.78  903.809  1.12161  2142.98 
 1501.46  905.707  1.12239  2144.67 
 1503.14  907.606  1.12318  2146.36 
 1504.82  909.507  1.12396  2148.06 
 1506.51  911.409  1.12474  2149.75 
 1508.19  913.312  1.12552  2151.44 
 1509.87  915.217  1.1263  2153.14 
 1511.56  917.123  1.12709  2154.83 
 1513.24  919.031  1.12787  2156.52 
 1514.92  920.94  1.12865  2158.22 
 1516.61  922.85  1.12942  2159.91 
 1518.29  924.761  1.1302  2161.6 
 1519.98  926.674  1.13098  2163.3 
 1521.66  928.589  1.13176  2164.99 
 1523.35  930.504  1.13254  2166.68 
 1525.03  932.421  1.13331  2168.38 
 1526.72  934.34  1.13409  2170.07 
 1528.4  936.259  1.13487  2171.76 
 1530.09  938.18  1.13564  2173.46 
 1531.78  940.103  1.13642  2175.15 
 1533.47  942.027  1.13719  2176.84 
 1535.15  943.952  1.13797  2178.54 
 1536.84  945.878  1.13874  2180.23 
 1538.53  947.806  1.13951  2181.92 
 1540.22  949.735  1.14029  2183.62 
 1541.91  951.666  1.14106  2185.31 
 1543.59  953.598  1.14183  2187 
 1545.28  955.531  1.1426  2188.7 
 1546.97  957.465  1.14338  2190.39 
 1548.66  959.401  1.14415  2192.08 
 1550.35  961.338  1.14492  2193.78 
 1552.04  963.277  1.14569  2195.47 
 1553.74  965.217  1.14646  2197.16 
 1555.43  967.158  1.14722  2198.86 
 1557.12  969.101  1.14799  2200.55 
 1558.81  971.045  1.14876  2202.24 
 1560.5  972.99  1.14953  2203.94 
 1562.19  974.936  1.1503  2205.63 
 1563.89  976.884  1.15106  2207.32 
 1565.58  978.834  1.15183  2209.02 
 1567.27  980.784  1.1526  2210.71 
 1568.97  982.736  1.15336  2212.4 
 1570.66  984.69  1.15413  2214.1 
 1572.36  986.644  1.15489  2215.79 
 1574.05  988.6  1.15566  2217.48 
 1575.74  990.557  1.15642  2219.18 
 1577.44  992.516  1.15718  2220.87 
 1579.14  994.476  1.15795  2222.57 
 1580.83  996.437  1.15871  2224.26 
 1582.53  998.4  1.15947  2225.95 
 1584.22  1000.36  1.16023  2227.65 
 1585.92  1002.33  1.16099  2229.34 
 1587.62  1004.3  1.16176  2231.03 
 1589.32  1006.26  1.16252  2232.73 
 1591.01  1008.23  1.16328  2234.42 
 1592.71  1010.2  1.16404  2236.11 
 1594.41  1012.18  1.1648  2237.81 
 1596.11  1014.15  1.16555  2239.5 
 1597.81  1016.12  1.16631  2241.19 
 1599.51  1018.1  1.16707  2242.89 
 1601.21  1020.08  1.16783  2244.58 
 1602.91  1022.05  1.16859  2246.27 
 1604.61  1024.03  1.16934  2247.97 
 1606.31  1026.02  1.1701  2249.66 
 1608.01  1028  1.17086  2251.35 
 1609.71  1029.98  1.17161  2253.05 
 1611.41  1031.97  1.17237  2254.74 
 1613.12  1033.95  1.17312  2256.43 
 1614.82  1035.94  1.17388  2258.13 
 1616.52  1037.93  1.17463  2259.82 
 1618.23  1039.92  1.17538  2261.51 
 1619.93  1041.91  1.17614  2263.21 
 1621.63  1043.91  1.17689  2264.9 
 1623.34  1045.9  1.17764  2266.59 
 1625.04  1047.9  1.1784  2268.29 
 1626.75  1049.89  1.17915  2269.98 
 1628.45  1051.89  1.1799  2271.67 
 1630.16  1053.89  1.18065  2273.37 
 1631.86  1055.89  1.1814  2275.06 
 1633.57  1057.89  1.18215  2276.75 
 1635.28  1059.9  1.1829  2278.45 
 1636.98  1061.9  1.18365  2280.14 
 1638.69  1063.91  1.1844  2281.83 
 1640.4  1065.92  1.18515  2283.53 
 1642.11  1067.92  1.1859  2285.22 
 1643.82  1069.93  1.18664  2286.91 
 1645.52  1071.95  1.18739  2288.61 
 1647.23  1073.96  1.18814  2290.3 
 1648.94  1075.97  1.18888  2291.99 
 1650.65  1077.99  1.18963  2293.69 
 1652.36  1080  1.19038  2295.38 
 1654.07  1082.02  1.19112  2297.07 
 1655.78  1084.04  1.19187  2298.77 
 1657.5  1086.06  1.19261  2300.46 
 1659.21  1088.08  1.19336  2302.15 
 1660.92  1090.11  1.1941  2303.85 
 1662.63  1092.13  1.19485  2305.54 
 1664.34  1094.16  1.19559  2307.23 
 1666.06  1096.18  1.19633  2308.93 
 1667.77  1098.21  1.19707  2310.62 
 1669.48  1100.24  1.19782  2312.31 
 1671.2  1102.27  1.19856  2314.01 
 1672.91  1104.31  1.1993  2315.7 
 1674.63  1106.34  1.20004  2317.39 
 1676.34  1108.37  1.20078  2319.09 
 1678.06  1110.41  1.20152  2320.78 
 1679.77  1112.45  1.20226  2322.47 
 1681.49  1114.49  1.203  2324.17 
 1683.21  1116.53  1.20374  2325.86 
 1684.92  1118.57  1.20448  2327.55 
 1686.64  1120.61  1.20522  2329.25 
 1688.36  1122.65  1.20596  2330.94 
 1690.08  1124.7  1.20669  2332.63 
 1691.79  1126.75  1.20743  2334.33 
 1693.51  1128.79  1.20817  2336.02 
 1695.23  1130.84  1.20891  2337.71 
 1696.95  1132.89  1.20964  2339.41 
 1698.67  1134.94  1.21038  2341.1 
 1700.39  1137  1.21111  2342.79 
 1702.11  1139.05  1.21185  2344.49 
 1703.83  1141.11  1.21258  2346.18 
 1705.56  1143.16  1.21332  2347.87 
 1707.28  1145.22  1.21405  2349.57 
 1709  1147.28  1.21479  2351.26 
 1710.72  1149.34  1.21552  2352.95 
 1712.45  1151.4  1.21625  2354.65 
 1714.17  1153.47  1.21699  2356.34 
 1715.89  1155.53  1.21772  2358.03 
 1717.62  1157.6  1.21845  2359.73 
 1719.34  1159.66  1.21918  2361.42 
 1721.07  1161.73  1.21991  2363.11 
 1722.79  1163.8  1.22065  2364.81 
 1724.52  1165.87  1.22138  2366.5 
 1726.24  1167.95  1.22211  2368.19 
 1727.97  1170.02  1.22284  2369.89 
 1729.69  1172.09  1.22357  2371.58 
 1731.42  1174.17  1.2243  2373.27 
 1733.15  1176.25  1.22503  2374.97 
 1734.88  1178.33  1.22575  2376.66 
 1736.61  1180.41  1.22648  2378.35 
 1738.33  1182.49  1.22721  2380.05 
 1740.06  1184.57  1.22794  2381.74 
 1741.79  1186.65  1.22867  2383.43 
 1743.52  1188.74  1.22939  2385.13 
 1745.25  1190.82  1.23012  2386.82 
 1746.98  1192.91  1.23085  2388.51 
 1748.71  1195  1.23157  2390.21 
 1750.44  1197.09  1.2323  2391.9 
 1752.18  1199.18  1.23302  2393.59 
 1753.91  1201.27  1.23375  2395.29 
 1755.64  1203.37  1.23447  2396.98 
 1757.37  1205.46  1.2352  2398.67 
 1759.11  1207.56  1.23592  2400.37 
 1760.84  1209.66  1.23665  2402.06 
 1762.57  1211.76  1.23737  2403.75 
 1764.31  1213.86  1.23809  2405.45 
 1766.04  1215.96  1.23881  2407.14 
 1767.78  1218.06  1.23954  2408.83 
 1769.51  1220.16  1.24026  2410.53 
 1771.25  1222.27  1.24098  2412.22 
 1772.99  1224.38  1.2417  2413.91 
 1774.72  1226.48  1.24242  2415.61 
 1776.46  1228.59  1.24314  2417.3 
 1778.2  1230.7  1.24386  2418.99 
 1779.94  1232.81  1.24458  2420.69 
 1781.67  1234.93  1.2453  2422.38 
 1783.41  1237.04  1.24602  2424.07 
 1785.15  1239.16  1.24674  2425.77 
 1786.89  1241.27  1.24746  2427.46 
 1788.63  1243.39  1.24818  2429.15 
 1790.37  1245.51  1.2489  2430.85 
 1792.11  1247.63  1.24962  2432.54 
 1793.85  1249.75  1.25033  2434.23 
 1795.6  1251.88  1.25105  2435.93 
 1797.34  1254  1.25177  2437.62 
 1799.08  1256.13  1.25248  2439.31 
 1800.82  1258.25  1.2532  2441.01 
 1802.57  1260.38  1.25392  2442.7 
 1804.31  1262.51  1.25463  2444.39 
 1806.05  1264.64  1.25535  2446.09 
 1807.8  1266.77  1.25606  2447.78 
 1809.54  1268.9  1.25678  2449.47 
 1811.29  1271.04  1.25749  2451.17 
 1813.03  1273.17  1.25821  2452.86 
 1814.78  1275.31  1.25892  2454.56 
 1816.52  1277.45  1.25963  2456.25 
 1818.27  1279.59  1.26035  2457.94 
 1820.02  1281.73  1.26106  2459.64 
 1821.77  1283.87  1.26177  2461.33 
 1823.51  1286.01  1.26248  2463.02 
 1825.26  1288.16  1.2632  2464.72 
 1827.01  1290.3  1.26391  2466.41 
 1828.76  1292.45  1.26462  2468.1 
 1830.51  1294.6  1.26533  2469.8 
 1832.26  1296.75  1.26604  2471.49 
 1834.01  1298.9  1.26675  2473.18 
 1835.76  1301.05  1.26746  2474.88 
 1837.51  1303.2  1.26817  2476.57 
 1839.26  1305.36  1.26888  2478.26 
 1841.02  1307.51  1.26959  2479.96 
 1842.77  1309.67  1.2703  2481.65 
 1844.52  1311.83  1.27101  2483.34 
 1846.28  1313.99  1.27172  2485.04 
 1848.03  1316.15  1.27243  2486.73 
 1849.78  1318.31  1.27313  2488.42 
 1851.54  1320.47  1.27384  2490.12 
 1853.29  1322.64  1.27455  2491.81 
 1855.05  1324.8  1.27525  2493.5 
 1856.8  1326.97  1.27596  2495.2 
 1858.56  1329.14  1.27667  2496.89 
 1860.32  1331.31  1.27737  2498.58 
 1862.07  1333.48  1.27808  2500.28 
 1863.83  1335.65  1.27878  2501.97 
 1865.59  1337.82  1.27949  2503.66 
 1867.35  1339.99  1.28019  2505.36 
 1869.11  1342.17  1.2809  2507.05 
 1870.87  1344.35  1.2816  2508.74 
 1872.62  1346.52  1.28231  2510.44 
 1874.38  1348.7  1.28301  2512.13 
 1876.15  1350.88  1.28371  2513.82 
 1877.91  1353.07  1.28442  2515.52 
 1879.67  1355.25  1.28512  2517.21 
 1881.43  1357.43  1.28582  2518.9 
 1883.19  1359.62  1.28652  2520.6 
 1884.95  1361.8  1.28723  2522.29 
 1886.72  1363.99  1.28793  2523.98 
 1888.48  1366.18  1.28863  2525.68 
 1890.24  1368.37  1.28933  2527.37 
 1892.01  1370.56  1.29003  2529.06 
 1893.77  1372.76  1.29073  2530.76 
 1895.54  1374.95  1.29143  2532.45 
 1897.3  1377.14  1.29213  2534.14 
 1899.07  1379.34  1.29283  2535.84 
 1900.84  1381.54  1.29353  2537.53 
 1902.6  1383.74  1.29423  2539.22 
 1904.37  1385.94  1.29493  2540.92 
 1906.14  1388.14  1.29563  2542.61 
 1907.91  1390.34  1.29633  2544.3 
 1909.67  1392.54  1.29702  2546 
 1911.44  1394.75  1.29772  2547.69 
 1913.21  1396.96  1.29842  2549.38 
 1914.98  1399.16  1.29912  2551.08 
 1916.75  1401.37  1.29981  2552.77 
 1918.52  1403.58  1.30051  2554.46 
 1920.29  1405.79  1.30121  2556.16 
 1922.07  1408.01  1.3019  2557.85 
 1923.84  1410.22  1.3026  2559.54 
 1925.61  1412.43  1.30329  2561.24 
 1927.38  1414.65  1.30399  2562.93 
 1929.16  1416.87  1.30468  2564.62 
 1930.93  1419.09  1.30538  2566.32 
 1932.7  1421.31  1.30607  2568.01 
 1934.48  1423.53  1.30677  2569.7 
 1936.25  1425.75  1.30746  2571.4 
 1938.03  1427.97  1.30816  2573.09 
 1939.81  1430.2  1.30885  2574.78 
 1941.58  1432.42  1.30954  2576.48 
 1943.36  1434.65  1.31023  2578.17 
 1945.14  1436.88  1.31093  2579.86 
 1946.91  1439.11  1.31162  2581.56 
 1948.69  1441.34  1.31231  2583.25 
 1950.47  1443.57  1.313  2584.94 
 1952.25  1445.8  1.31369  2586.64 
 1954.03  1448.04  1.31439  2588.33 
 1955.81  1450.27  1.31508  2590.02 
 1957.59  1452.51  1.31577  2591.72 
 1959.37  1454.75  1.31646  2593.41 
 1961.15  1456.99  1.31715  2595.1 
 1962.93  1459.23  1.31784  2596.8 
 1964.71  1461.47  1.31853  2598.49 
 1966.5  1463.71  1.31922  2600.18 
 1968.28  1465.95  1.31991  2601.88 
 1970.06  1468.2  1.3206  2603.57 
 1971.85  1470.45  1.32128  2605.26 
 1973.63  1472.69  1.32197  2606.96 
 1975.42  1474.94  1.32266  2608.65 
 1977.2  1477.19  1.32335  2610.34 
 1978.99  1479.44  1.32404  2612.04 
 1980.77  1481.7  1.32472  2613.73 
 1982.56  1483.95  1.32541  2615.42 
 1984.35  1486.21  1.3261  2617.12 
 1986.13  1488.46  1.32678  2618.81 
 1987.92  1490.72  1.32747  2620.5 
 1989.71  1492.98  1.32816  2622.2 
 1991.5  1495.24  1.32884  2623.89 
 1993.29  1497.5  1.32953  2625.58 
 1995.08  1499.76  1.33021  2627.28 
 1996.87  1502.02  1.3309  2628.97 
 1998.66  1504.29  1.33158  2630.66 
 2000.45  1506.55  1.33227  2632.36 
 2002.24  1508.82  1.33295  2634.05 
 2004.03  1511.09  1.33364  2635.74 
 2005.82  1513.36  1.33432  2637.44 
 2007.62  1515.63  1.335  2639.13 
 2009.41  1517.9  1.33569  2640.82 
 2011.2  1520.17  1.33637  2642.52 
 2013  1522.45  1.33705  2644.21 
 2014.79  1524.72  1.33773  2645.9 
 2016.59  1527  1.33842  2647.6 
 2018.38  1529.28  1.3391  2649.29 
 2020.18  1531.56  1.33978  2650.98 
 2021.97  1533.84  1.34046  2652.68 
 2023.77  1536.12  1.34114  2654.37 
 2025.57  1538.4  1.34182  2656.06 
 2027.37  1540.69  1.3425  2657.76 
 2029.16  1542.97  1.34319  2659.45 
 2030.96  1545.26  1.34387  2661.14 
 2032.76  1547.55  1.34455  2662.84 
 2034.56  1549.83  1.34523  2664.53 
 2036.36  1552.12  1.34591  2666.22 
 2038.16  1554.41  1.34658  2667.92 
 2039.96  1556.71  1.34726  2669.61 
 2041.76  1559  1.34794  2671.3 
 2043.57  1561.3  1.34862  2673 
 2045.37  1563.59  1.3493  2674.69 
 2047.17  1565.89  1.34998  2676.38 
 2048.97  1568.19  1.35066  2678.08 
 2050.78  1570.49  1.35133  2679.77 
 2052.58  1572.79  1.35201  2681.46 
 2054.39  1575.09  1.35269  2683.16 
 2056.19  1577.39  1.35336  2684.85 
 2058  1579.7  1.35404  2686.55 
 2059.8  1582  1.35472  2688.24 
 2061.61  1584.31  1.35539  2689.93 
 2063.42  1586.62  1.35607  2691.63 
 2065.22  1588.92  1.35675  2693.32 
 2067.03  1591.23  1.35742  2695.01 
 2068.84  1593.55  1.3581  2696.71 
 2070.65  1595.86  1.35877  2698.4 
 2072.46  1598.17  1.35945  2700.09 
 2074.27  1600.49  1.36012  2701.79 
 2076.08  1602.8  1.3608  2703.48 
 2077.89  1605.12  1.36147  2705.17 
 2079.7  1607.44  1.36214  2706.87 
 2081.51  1609.76  1.36282  2708.56 
 2083.32  1612.08  1.36349  2710.25 
 2085.14  1614.4  1.36416  2711.95 
 2086.95  1616.73  1.36484  2713.64 
 2088.76  1619.05  1.36551  2715.33 
 2090.58  1621.38  1.36618  2717.03 
 2092.39  1623.7  1.36685  2718.72 
 2094.2  1626.03  1.36753  2720.41 
 2096.02  1628.36  1.3682  2722.11 
 2097.84  1630.69  1.36887  2723.8 
 2099.65  1633.02  1.36954  2725.49 
 2101.47  1635.35  1.37021  2727.19 
 2103.29  1637.69  1.37088  2728.88 
 2105.1  1640.02  1.37155  2730.57 
 2106.92  1642.36  1.37222  2732.27 
 2108.74  1644.7  1.37289  2733.96 
 2110.56  1647.04  1.37356  2735.65 
 2112.38  1649.38  1.37423  2737.35 
 2114.2  1651.72  1.3749  2739.04 
 2116.02  1654.06  1.37557  2740.73 
 2117.84  1656.4  1.37624  2742.43 
 2119.66  1658.75  1.37691  2744.12 
 2121.48  1661.09  1.37758  2745.81 
 2123.3  1663.44  1.37825  2747.51 
 2125.13  1665.79  1.37892  2749.2 
 2126.95  1668.14  1.37958  2750.89 
 2128.77  1670.49  1.38025  2752.59 
 2130.6  1672.84  1.38092  2754.28 
 2132.42  1675.19  1.38159  2755.97 
 2134.25  1677.55  1.38225  2757.67 
 2136.07  1679.9  1.38292  2759.36 
 2137.9  1682.26  1.38359  2761.05 
 2139.73  1684.62  1.38425  2762.75 
 2141.55  1686.97  1.38492  2764.44 
 2143.38  1689.33  1.38559  2766.13 
 2145.21  1691.69  1.38625  2767.83 
 2147.04  1694.06  1.38692  2769.52 
 2148.87  1696.42  1.38758  2771.21 
 2150.69  1698.79  1.38825  2772.91 
 2152.52  1701.15  1.38891  2774.6 
 2154.35  1703.52  1.38958  2776.29 
 2156.19  1705.89  1.39024  2777.99 
 2158.02  1708.26  1.39091  2779.68 
 2159.85  1710.63  1.39157  2781.37 
 2161.68  1713  1.39223  2783.07 
 2163.51  1715.37  1.3929  2784.76 
 2165.35  1717.74  1.39356  2786.45 
 2167.18  1720.12  1.39422  2788.15 
 2169.01  1722.5  1.39489  2789.84 
 2170.85  1724.87  1.39555  2791.53 
 2172.68  1727.25  1.39621  2793.23 
 2174.52  1729.63  1.39687  2794.92 
 2176.36  1732.01  1.39754  2796.61 
 2178.19  1734.4  1.3982  2798.31 
 2180.03  1736.78  1.39886  2800 
